date,symbol,type,amount
2020-01-10T12:00:00-05:00,HASI,dividend,167.5
2020-02-07T09:31:00-05:00,FCNTX,dividend,64.03
2020-03-26T12:00:00-04:00,CNRG,dividend,46.37
2020-03-31T12:00:00-04:00,BAM,dividend,27.0
2020-04-10T12:00:00-04:00,HASI,dividend,170.0
2020-05-20T12:00:00-04:00,CAT,dividend,30.9
2020-06-10T12:00:00-04:00,XOM,dividend,87.0
2020-06-25T12:00:00-04:00,CNRG,dividend,33.92
2020-06-30T12:00:00-04:00,BAM,dividend,12.0
2020-07-09T12:00:00-04:00,HASI,dividend,170.0
2020-08-20T12:00:00-04:00,CAT,dividend,30.9
2020-09-24T12:00:00-04:00,CNRG,dividend,14.44
2020-10-09T12:00:00-04:00,HASI,dividend,170.0
2020-11-13T12:00:00-05:00,ASML,dividend,27.91
2020-11-20T12:00:00-05:00,CAT,dividend,30.9
2020-12-11T09:31:00-05:00,FCNTX,dividend,828.08
2020-12-11T09:31:00-05:00,FSMVX,dividend,0.46
2020-12-14T12:00:00-05:00,DHI,dividend,30.0
2020-12-16T09:31:00-05:00,MJFOX,dividend,93.32
2020-12-16T09:31:00-05:00,MJFOX,dividend,1714.78
2020-12-16T09:31:00-05:00,MAPTX,dividend,25.2
2020-12-16T09:31:00-05:00,MAPTX,dividend,130.7
2020-12-16T09:31:00-05:00,MAPTX,dividend,457.62
2020-12-16T12:00:00-05:00,ODFL,dividend,4.5
2020-12-24T12:00:00-05:00,XOP,dividend,60.13
2020-12-24T12:00:00-05:00,CNRG,dividend,17.57
2020-12-29T09:31:00-05:00,FDEGX,dividend,1740.77
2021-01-08T12:00:00-05:00,HASI,dividend,170.0
2021-02-12T09:31:00-05:00,FCNTX,dividend,286.21
2021-02-19T12:00:00-05:00,CAT,dividend,30.9
2021-02-25T12:00:00-05:00,DHI,dividend,10.0
2021-03-25T12:00:00-04:00,XOP,dividend,72.15
2021-03-25T12:00:00-04:00,XOP,dividend,29.33
2021-04-12T12:00:00-04:00,HASI,dividend,140.0
2021-05-12T12:00:00-04:00,ASML,dividend,37.39
2021-05-20T12:00:00-04:00,CAT,dividend,30.9
2021-05-20T12:00:00-04:00,DHI,dividend,10.0
2021-05-28T12:00:00-04:00,OPY,dividend,36.0
2021-06-16T12:00:00-04:00,ODFL,dividend,10.0
2021-06-24T12:00:00-04:00,XOP,dividend,69.53
2021-06-25T12:00:00-04:00,BAC,dividend,36.0
2021-08-17T12:00:00-04:00,DHI,dividend,10.0
2021-08-20T12:00:00-04:00,CAT,dividend,33.3
2021-08-26T12:00:00-04:00,OPY,dividend,45.0
2021-09-03T09:31:00-04:00,FCPVX,dividend,66.4
2021-09-03T09:31:00-04:00,FCPVX,dividend,690.57
2021-09-03T09:31:00-04:00,FCPVX,dividend,312.08
2021-09-15T12:00:00-04:00,ODFL,dividend,10.0
2021-09-23T12:00:00-04:00,XOP,dividend,69.05
2021-12-10T09:31:00-05:00,FCNTX,dividend,1871.57
2021-12-15T09:31:00-05:00,MJFOX,dividend,183.79
2021-12-15T09:31:00-05:00,MJFOX,dividend,251.09
2021-12-15T09:31:00-05:00,MJFOX,dividend,1703.51
2021-12-15T09:31:00-05:00,MAPTX,dividend,162.37
2021-12-15T09:31:00-05:00,MAPTX,dividend,1736.49
2021-12-15T12:00:00-05:00,ODFL,dividend,10.0
2021-12-17T09:31:00-05:00,FCPVX,dividend,353.95
2021-12-17T09:31:00-05:00,FCPVX,dividend,91.38
2021-12-17T09:31:00-05:00,FCPVX,dividend,338.91
2021-12-28T09:31:00-05:00,FCPVX,dividend,88.39
2022-01-07T12:00:00-05:00,MRK,dividend,69.0
2022-02-04T09:31:00-05:00,FCNTX,dividend,268.75
2022-03-16T12:00:00-04:00,ODFL,dividend,15.0
2022-04-07T12:00:00-04:00,MRK,dividend,69.0
2022-12-22T12:00:00-05:00,XLP,dividend,92.74
2022-12-22T12:00:00-05:00,XLV,dividend,48.94
2022-12-22T12:00:00-05:00,XLB,dividend,60.57
2023-03-23T12:00:00-04:00,XLB,dividend,38.95
2023-12-27T12:00:00-05:00,EWW,dividend,82.18
2023-12-27T12:00:00-05:00,VRT,dividend,2.5
2024-03-21T12:00:00-04:00,XLC,dividend,21.4
2024-03-28T12:00:00-04:00,VRT,dividend,2.5
2024-04-12T12:00:00-04:00,DKS,dividend,38.5
2024-04-12T12:00:00-04:00,PGR,dividend,4.0
2024-05-02T12:00:00-04:00,AZZ,dividend,15.3
2024-05-21T12:00:00-04:00,FTAI,dividend,30.0
2024-06-03T12:00:00-04:00,RNMBY,dividend,111.28
2024-06-26T12:00:00-04:00,VRT,dividend,1.25
2024-06-26T12:00:00-04:00,XLC,dividend,22.44
2024-07-12T12:00:00-04:00,PGR,dividend,4.0
2024-08-20T12:00:00-04:00,FTAI,dividend,22.5
2024-09-05T12:00:00-04:00,CRS,dividend,10.0
2024-09-13T12:00:00-04:00,USLM,dividend,5.0
2024-09-25T12:00:00-04:00,XLV,dividend,28.86
2024-09-25T12:00:00-04:00,XLC,dividend,26.92
2024-10-11T12:00:00-04:00,PGR,dividend,5.0
2024-11-21T12:00:00-05:00,WLFC,dividend,7.5
2024-11-27T12:00:00-05:00,JEF,dividend,24.5
2024-12-05T12:00:00-05:00,CRS,dividend,10.0
2024-12-13T12:00:00-05:00,IBKR,dividend,12.5
2024-12-13T12:00:00-05:00,USLM,dividend,5.0
2024-12-19T12:00:00-05:00,VRT,dividend,2.25
2024-12-26T12:00:00-05:00,XLY,dividend,12.99
2024-12-26T12:00:00-05:00,XLC,dividend,40.7
2025-03-06T12:00:00-05:00,CRS,dividend,10.0
2025-04-01T12:00:00-04:00,SH,dividend,31.15
2025-04-01T12:00:00-04:00,PSQ,dividend,34.15
2025-05-02T12:00:00-04:00,SAABY,dividend,25.92
2025-05-05T12:00:00-04:00,JPST,dividend,38.27
2025-05-22T12:00:00-04:00,DUAVF,dividend,131.79
2025-06-02T12:00:00-04:00,RNMBY,dividend,72.07
2025-06-04T12:00:00-04:00,JPST,dividend,38.45
2025-06-13T12:00:00-04:00,THLLY,dividend,161.13
2025-07-03T12:00:00-04:00,JPST,dividend,37.14
2025-07-24T12:00:00-04:00,ORCL,dividend,35.0
2025-08-05T12:00:00-04:00,JPST,dividend,37.66
