date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,tags,notes,spread_id
2020-01-21T09:31:00-05:00,PALL,buy,USD,PALL,stock,215.0,50.0,0.0,0.0,,Bought,
2020-01-29T15:59:00-05:00,PALL,sell,USD,PALL,stock,218.0,-50.0,0.23,0.0,,Sold,
2020-02-07T09:31:00-05:00,FCNTX,buy,USD,FCNTX,stock,14.398,4.447,0.0,0.0,,ReinvLg,
2020-02-26T09:31:00-05:00,ANSS,buy,USD,ANSS,stock,279.333,35.0,0.0,0.0,,Bought,
2020-02-26T09:31:00-05:00,BAM,buy,USD,BAM,stock,65.94,150.0,0.0,0.0,,Bought,
2020-02-26T09:31:00-05:00,CNRG,buy,USD,CNRG,stock,53.905,150.0,0.0,0.0,,Bought,
2020-03-10T09:31:00-04:00,XOP,buy,USD,XOP,stock,13.35,400.0,0.0,0.0,,Bought,
2020-03-13T15:59:00-04:00,XOP,sell,USD,XOP,stock,8.755,-400.0,0.08,0.0,,Sold,
2020-03-16T09:31:00-04:00,ZM,buy,USD,ZM,stock,111.319,50.0,0.0,0.0,,Bought,
2020-03-17T09:31:00-04:00,AMZN,buy,USD,AMZN,stock,1752.233,3.0,0.0,0.0,,Bought,
2020-03-18T09:31:00-04:00,CAT,buy,USD,CAT,stock,104.65,30.0,0.0,0.0,,Bought,
2020-04-28T09:31:00-04:00,XOM,buy,USD,XOM,stock,44.5,100.0,0.0,0.0,,Bought,
2020-05-11T15:59:00-04:00,BAM,sell,USD,BAM,stock,33.497,-125.0,0.1,0.0,,Sold,
2020-05-12T09:31:00-04:00,NOW,buy,USD,NOW,stock,380.0,10.0,0.0,0.0,,Bought,
2020-07-13T15:59:00-04:00,BAM,sell,USD,BAM,stock,33.0,-100.0,0.08,0.0,,Sold,
2020-07-15T15:59:00-04:00,XOM,sell,USD,XOM,stock,42.6,-100.0,0.1,0.0,,Sold,
2020-07-17T09:31:00-04:00,AZN,buy,USD,AZN,stock,56.92,100.0,0.0,0.0,,Bought,
2020-07-27T15:59:00-04:00,AZN,sell,USD,AZN,stock,55.567,-100.0,0.13,0.0,,Sold,
2020-07-28T09:31:00-04:00,ASML,buy,USD,ASML,stock,371.0,10.0,0.0,0.0,,Bought,
2020-07-31T09:31:00-04:00,ASML,buy,USD,ASML,stock,363.23,10.0,0.0,0.0,,Bought,
2020-09-01T09:31:00-04:00,CHGG,buy,USD,CHGG,stock,75.0,50.0,0.0,0.0,,Bought,
2020-09-01T09:31:00-04:00,IDXX,buy,USD,IDXX,stock,385.0,10.0,0.0,0.0,,Bought,
2020-09-08T09:31:00-04:00,CGNX,buy,USD,CGNX,stock,67.5,75.0,0.0,0.0,,Bought,
2020-09-08T09:31:00-04:00,ODFL,buy,USD,ODFL,stock,196.444,30.0,0.0,0.0,,Bought,
2020-09-08T09:31:00-04:00,PYPL,buy,USD,PYPL,stock,197.005,25.0,0.0,0.0,,Bought,
2020-09-08T09:31:00-04:00,PYPL,buy,USD,PYPL,stock,202.801,25.0,0.0,0.0,,Bought,
2020-09-10T15:59:00-04:00,PYPL,sell,USD,PYPL,stock,185.0,-50.0,0.21,0.0,,Sold,
2020-09-23T15:59:00-04:00,CGNX,sell,USD,CGNX,stock,59.91,-75.0,0.1,0.0,,Sold,
2020-10-21T15:59:00-04:00,FLATX,sell,USD,FLATX,stock,18.88,-271.53,0.0,0.0,,Sold,
2020-10-23T15:59:00-04:00,FSMVX,sell,USD,FSMVX,stock,20.47,-795.244,0.0,0.0,,Sold,
2020-11-03T15:59:00-05:00,ZM,sell,USD,ZM,stock,462.0,-50.0,0.52,0.0,,Sold,
2020-11-04T15:59:00-05:00,AMZN,sell,USD,AMZN,stock,2966.43,-3.0,0.2,0.0,,Sold,
2020-11-12T09:31:00-05:00,XOP,buy,USD,XOP,stock,45.863,200.0,0.0,0.0,,Bought,
2020-12-03T09:31:00-05:00,DHI,buy,USD,DHI,stock,74.0,150.0,0.0,0.0,,Bought,
2020-12-11T09:31:00-05:00,NVDA,buy,USD,NVDA,stock,519.84,20.0,0.0,0.0,,Bought,
2020-12-11T09:31:00-05:00,FCNTX,buy,USD,FCNTX,stock,16.26,50.927,0.0,0.0,,ReinvLg,
2020-12-11T09:31:00-05:00,FSMVX,buy,USD,FSMVX,stock,23.0,0.02,0.0,0.0,,ReinvDiv,
2020-12-16T09:31:00-05:00,MJFOX,buy,USD,MJFOX,stock,24.423,3.821,0.0,0.0,,ReinvDiv,
2020-12-16T09:31:00-05:00,MJFOX,buy,USD,MJFOX,stock,24.42,70.22,0.0,0.0,,ReinvLg,
2020-12-16T09:31:00-05:00,MAPTX,buy,USD,MAPTX,stock,33.6,0.75,0.0,0.0,,ReinvDiv,
2020-12-16T09:31:00-05:00,MAPTX,buy,USD,MAPTX,stock,33.608,3.889,0.0,0.0,,ReinvSh,
2020-12-16T09:31:00-05:00,MAPTX,buy,USD,MAPTX,stock,33.609,13.616,0.0,0.0,,ReinvLg,
2020-12-18T09:31:00-05:00,QUBT,buy,USD,QUBT,stock,9.55,500.0,0.0,0.0,,Bought,
2020-12-21T09:31:00-05:00,QUBT,buy,USD,QUBT,stock,10.75,14.0,0.0,0.0,,Bought,
2020-12-21T09:31:00-05:00,QUBT,buy,USD,QUBT,stock,10.89,486.0,0.0,0.0,,Bought,
2020-12-29T09:31:00-05:00,FDEGX,buy,USD,FDEGX,stock,59.129,29.44,0.0,0.0,,ReinvLg,
2021-01-29T09:31:00-05:00,CGC,buy,USD,CGC,stock,37.64,40.0,0.0,0.0,,Bought,
2021-01-29T09:31:00-05:00,CGC,buy,USD,CGC,stock,37.649,160.0,0.0,0.0,,Bought,
2021-01-29T09:31:00-05:00,CRNC,buy,USD,CRNC,stock,113.488,100.0,0.0,0.0,,Bought,
2021-01-29T15:59:00-05:00,DHI,sell,USD,DHI,stock,75.175,-100.0,0.17,0.0,,Sold,
2021-01-29T15:59:00-05:00,ODFL,sell,USD,ODFL,stock,197.111,-30.0,0.14,0.0,,Sold,
2021-02-04T09:31:00-05:00,HLIX,buy,USD,HLIX,stock,0.945,3000.0,0.01,0.0,,Bought,
2021-02-09T15:59:00-05:00,FSMVX,sell,USD,FSMVX,stock,24.54,-1.02,0.0,0.0,,Sold,
